Compound,Negative,Neutral,News Organization,Positive,Tweet Ago
0.1867,0.0,0.902,@BBC,0.098,1
0.0,0.0,1.0,@BBC,0.0,2
0.4215,0.0,0.833,@BBC,0.167,3
0.5411,0.0,0.857,@BBC,0.143,4
0.0,0.0,1.0,@BBC,0.0,5
0.0,0.0,1.0,@BBC,0.0,6
0.4995,0.0,0.867,@BBC,0.133,7
0.128,0.065,0.85,@BBC,0.085,8
0.0,0.0,1.0,@BBC,0.0,9
0.0,0.0,1.0,@BBC,0.0,10
0.0,0.0,1.0,@BBC,0.0,11
-0.296,0.136,0.864,@BBC,0.0,12
0.0,0.0,1.0,@BBC,0.0,13
0.0,0.0,1.0,@BBC,0.0,14
0.0,0.0,1.0,@BBC,0.0,15
0.7783,0.0,0.714,@BBC,0.286,16
-0.4479,0.172,0.828,@BBC,0.0,17
0.5994,0.0,0.813,@BBC,0.187,18
-0.4767,0.129,0.871,@BBC,0.0,19
0.6114,0.0,0.8,@BBC,0.2,20
0.1867,0.0,0.902,@BBC,0.098,21
0.0,0.0,1.0,@BBC,0.0,22
0.4215,0.0,0.833,@BBC,0.167,23
0.5411,0.0,0.857,@BBC,0.143,24
0.0,0.0,1.0,@BBC,0.0,25
0.0,0.0,1.0,@BBC,0.0,26
0.4995,0.0,0.867,@BBC,0.133,27
0.128,0.065,0.85,@BBC,0.085,28
0.0,0.0,1.0,@BBC,0.0,29
0.0,0.0,1.0,@BBC,0.0,30
0.0,0.0,1.0,@BBC,0.0,31
-0.296,0.136,0.864,@BBC,0.0,32
0.0,0.0,1.0,@BBC,0.0,33
0.0,0.0,1.0,@BBC,0.0,34
0.0,0.0,1.0,@BBC,0.0,35
0.7783,0.0,0.714,@BBC,0.286,36
-0.4479,0.172,0.828,@BBC,0.0,37
0.5994,0.0,0.813,@BBC,0.187,38
-0.4767,0.129,0.871,@BBC,0.0,39
0.6114,0.0,0.8,@BBC,0.2,40
0.1867,0.0,0.902,@BBC,0.098,41
0.0,0.0,1.0,@BBC,0.0,42
0.4215,0.0,0.833,@BBC,0.167,43
0.5411,0.0,0.857,@BBC,0.143,44
0.0,0.0,1.0,@BBC,0.0,45
0.0,0.0,1.0,@BBC,0.0,46
0.4995,0.0,0.867,@BBC,0.133,47
0.128,0.065,0.85,@BBC,0.085,48
0.0,0.0,1.0,@BBC,0.0,49
0.0,0.0,1.0,@BBC,0.0,50
0.0,0.0,1.0,@BBC,0.0,51
-0.296,0.136,0.864,@BBC,0.0,52
